Ranking,University,Location,Tuition,Enrollment
#185,Louisiana State University--Baton Rouge,"Baton Rouge, LA","$28,631
 (out-of-state)
$11,954
 (in-state)","30,952
 (fall 2022)"
#185,Missouri University of Science and Technology,"Rolla, MO","$31,862
 (out-of-state)
$14,462
 (in-state)","5,501
 (fall 2022)"
#185,Oklahoma State University,"Stillwater, OK","$24,764
 (out-of-state)
$9,244
 (in-state)","20,801
 (fall 2022)"
#185,Samford University,"Birmingham, AL","$38,144","3,672
 (fall 2022)"
#185,St. John Fisher University,"Rochester, NY","$39,666","2,629
 (fall 2022)"
#185,University of Detroit Mercy,"Detroit, MI","$31,058","3,156
 (fall 2022)"
#185,University of Idaho,"Moscow, ID","$28,052
 (out-of-state)
$8,816
 (in-state)","8,809
 (fall 2022)"
#195,East Carolina University,"Greenville, NC","$23,602
 (out-of-state)
$7,325
 (in-state)","21,688
 (fall 2022)"
#195,Russell Sage College,"Troy, NY","$36,756","1,126
 (fall 2022)"
#195,Touro University,"New York, NY","$21,810","4,860
 (fall 2022)"
#195,University of Louisville,"Louisville, KY","$29,174
 (out-of-state)
$12,828
 (in-state)","15,921
 (fall 2022)"
#195,University of Nevada--Reno,"Reno, NV","$25,950
 (out-of-state)
$8,994
 (in-state)","16,973
 (fall 2022)"
#195,University of Tulsa,"Tulsa, OK","$48,102","2,647
 (fall 2022)"
#201,Indiana University--Indianapolis,"Indianapolis, IN","$33,717
 (out-of-state)
$10,449
 (in-state)","17,727
 (fall 2022)"
#201,La Salle University,"Philadelphia, PA","$35,520","2,776
 (fall 2022)"
#201,The New School,"New York, NY","$56,244","7,208
 (fall 2022)"
#201,Robert Morris University,"Moon Township, PA","$34,740","2,782
 (fall 2022)"
#201,University of North Carolina--Wilmington,"Wilmington, NC","$22,985
 (out-of-state)
$7,317
 (in-state)","14,294
 (fall 2022)"
#201,Valparaiso University,"Valparaiso, IN","$46,588","2,349
 (fall 2022)"
#201,Wayne State University,"Detroit, MI","$31,614
 (out-of-state)
$14,925
 (in-state)","16,116
 (fall 2022)"
#201,Xavier University,"Cincinnati, OH","$48,125","4,860
 (fall 2022)"
#209,Chatham University,"Pittsburgh, PA","$43,810","1,499
 (fall 2022)"
#209,Florida Atlantic University,"Boca Raton, FL","$21,655
 (out-of-state)
$6,099
 (in-state)","24,229
 (fall 2022)"
#209,Illinois State University,"Normal, IL","$27,011
 (out-of-state)
$15,171
 (in-state)","18,055
 (fall 2022)"
#209,Pacific University,"Forest Grove, OR","$54,466","1,639
 (fall 2022)"
#209,Sacred Heart University,"Fairfield, CT","$48,460","6,782
 (fall 2022)"
#209,University of Massachusetts--Dartmouth,"North Dartmouth, MA","$30,992
 (out-of-state)
$14,854
 (in-state)","5,517
 (fall 2022)"
#209,West Chester University of Pennsylvania,"West Chester, PA","$22,261
 (out-of-state)
$10,687
 (in-state)","14,392
 (fall 2022)"
#216,Ball State University,"Muncie, IN","$28,766
 (out-of-state)
$10,758
 (in-state)","14,416
 (fall 2022)"
#216,The College of St. Scholastica,"Duluth, MN","$40,454","1,938
 (fall 2022)"
#216,Mississippi State University,"Mississippi State, MS","$26,580
 (out-of-state)
$9,815
 (in-state)","18,305
 (fall 2022)"
#216,Springfield College,"Springfield, MA","$43,707","2,005
 (fall 2022)"
#216,St. Catherine University,"St. Paul, MN","$49,758","2,416
 (fall 2022)"
#216,Texas Tech University,"Lubbock, TX","$24,092
 (out-of-state)
$11,852
 (in-state)","32,579
 (fall 2022)"
#216,University of Massachusetts--Boston,"Boston, MA","$37,211
 (out-of-state)
$15,535
 (in-state)","12,221
 (fall 2022)"
#216,University of North Carolina--Greensboro,"Greensboro, NC","$22,539
 (out-of-state)
$7,379
 (in-state)","14,198
 (fall 2022)"
#216,University of St. Thomas (TX),"Houston, TX","$33,660","2,729
 (fall 2022)"
#216,University of Wyoming,"Laramie, WY","$22,718
 (out-of-state)
$6,938
 (in-state)","8,518
 (fall 2022)"
#216,West Virginia University,"Morgantown, WV","$26,568
 (out-of-state)
$9,360
 (in-state)","19,059
 (fall 2022)"
#227,Georgia State University,"Atlanta, GA","$29,306
 (out-of-state)
$10,268
 (in-state)","28,927
 (fall 2022)"
#227,Kent State University,"Kent, OH","$22,316
 (out-of-state)
$12,846
 (in-state)","20,418
 (fall 2022)"
#227,Misericordia University,"Dallas, PA","$38,370","1,777
 (fall 2022)"
#227,Nova Southeastern University,"Ft. Lauderdale, FL","$37,080","6,971
 (fall 2022)"
#227,University of Alabama at Huntsville,"Huntsville, AL","$24,770
 (out-of-state)
$11,878
 (in-state)","7,169
 (fall 2022)"
#227,The University of Texas--Rio Grande Valley,"Edinburg, TX","$19,333
 (out-of-state)
$9,538
 (in-state)","26,434
 (fall 2022)"
#227,Western Carolina University,"Cullowhee, NC","$8,532
 (out-of-state)
$4,532
 (in-state)","9,956
 (fall 2022)"
#227,Widener University,"Chester, PA","$53,638","2,555
 (fall 2022)"
#235,Grand Valley State University,"Allendale, MI","$20,820
 (out-of-state)
$14,628
 (in-state)","19,379
 (fall 2022)"
#236,Azusa Pacific University,"Azusa, CA","$42,330","2,588
 (fall 2022)"
#236,Belmont University,"Nashville, TN","$41,320","7,376
 (fall 2022)"
#236,Bethel University (MN),"St. Paul, MN","$42,930","2,533
 (fall 2022)"
#236,Biola University,"La Mirada, CA","$46,704","3,499
 (fall 2022)"
#236,Gallaudet University,"Washington, DC","$18,254","914
 (fall 2022)"
#236,Lipscomb University,"Nashville, TN","$38,824","2,955
 (fall 2022)"
#236,University of Colorado Denver,"Denver, CO","$35,106
 (out-of-state)
$12,366
 (in-state)","14,055
 (fall 2022)"
#236,University of New Mexico,"Albuquerque, NM","$26,452
 (out-of-state)
$10,092
 (in-state)","15,914
 (fall 2022)"
#236,University of North Dakota,"Grand Forks, ND","$15,570
 (out-of-state)
$10,951
 (in-state)","9,928
 (fall 2022)"
#236,University of North Florida,"Jacksonville, FL","$20,107
 (out-of-state)
$6,398
 (in-state)","14,171
 (fall 2022)"
#236,The University of Texas--Arlington,"Arlington, TX","$29,660
 (out-of-state)
$11,728
 (in-state)","30,791
 (fall 2022)"
#236,Western New England University,"Springfield, MA","$46,430","2,406
 (fall 2022)"
#249,Keiser University,"Ft. Lauderdale, FL","$36,020","16,960
 (fall 2022)"
#249,Maryville University of St. Louis,"St Louis, MO","$27,166","5,809
 (fall 2022)"
